INFO 2025-04-04 09:51:53,723 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-04 09:51:53,725 autoreload Waiting for apps ready_event.
DEBUG 2025-04-04 09:51:53,790 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-04-04 09:51:53,831 autoreload Watching dir /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-04-04 09:51:53,831 autoreload Watching dir /home/priyanshus/Documents/django1/demo/templates with glob **/*.
DEBUG 2025-04-04 09:51:53,831 autoreload Watching dir /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/allauth/templates with glob **/*.
DEBUG 2025-04-04 09:51:53,831 autoreload Watching dir /home/priyanshus/Documents/django1/demo/locale with glob **/*.mo.
DEBUG 2025-04-04 09:51:53,831 autoreload Watching dir /home/priyanshus/Documents/django1/demo/app/locale with glob **/*.mo.
DEBUG 2025-04-04 09:51:53,832 autoreload Watching dir /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-04-04 09:51:53,832 autoreload Watching dir /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2025-04-04 09:51:53,832 autoreload Watching dir /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/allauth/locale with glob **/*.mo.
DEBUG 2025-04-04 09:51:53,833 autoreload Watching dir /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/allauth/account/locale with glob **/*.mo.
DEBUG 2025-04-04 09:51:53,833 autoreload Watching dir /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/allauth/socialaccount/locale with glob **/*.mo.
DEBUG 2025-04-04 09:51:53,833 autoreload Watching dir /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/allauth/socialaccount/providers/google/locale with glob **/*.mo.
DEBUG 2025-04-04 09:51:53,833 autoreload Watching dir /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2025-04-04 09:51:53,913 utils (0.001) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2025-04-04 09:51:53,914 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2025-04-04 09:51:53,917 utils (0.002) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2025-04-04 09:51:53,923 utils (0.002) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/urllib3/util/timeout.py first seen with mtime 1743056808.0188348
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/template/response.py first seen with mtime 1743056810.114511
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/core/management/commands/runserver.py first seen with mtime 1743056810.010711
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/test/signals.py first seen with mtime 1743056810.1224957
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/template/loaders/app_directories.py first seen with mtime 1743056810.1185033
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/requests/packages.py first seen with mtime 1743056808.5417254
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/urllib3/response.py first seen with mtime 1743056808.0068603
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/core/validators.py first seen with mtime 1743056809.9867587
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/contrib/auth/tokens.py first seen with mtime 1743056809.3081298
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/http/response.py first seen with mtime 1743056810.1065266
DEBUG 2025-04-04 09:51:54,008 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/whitenoise/media_types.py first seen with mtime 1743059736.1865282
DEBUG 2025-04-04 09:51:54,009 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/db/models/lookups.py first seen with mtime 1743056810.0546265
DEBUG 2025-04-04 09:51:54,009 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/allauth/account/app_settings.py first seen with mtime 1743056812.0588663
DEBUG 2025-04-04 09:51:54,009 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/utils/choices.py first seen with mtime 1743056810.1304803
DEBUG 2025-04-04 09:51:54,009 autoreload File /usr/lib/python3.10/copyreg.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,009 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/template/loaders/base.py first seen with mtime 1743056810.1185033
